importer,imported
zeeguu/api/api/teacher_dashboard/cohorts.py,zeeguu/api/api/teacher_dashboard/_permissions.py
zeeguu/api/api/teacher_dashboard/student.py,zeeguu/api/api/teacher_dashboard/_permissions.py
zeeguu/api/api/teacher_dashboard/_common_api_parameters.py,zeeguu/api/api/teacher_dashboard/_permissions.py
zeeguu/api/api/teacher_dashboard/cohorts.py,zeeguu/api/api/teacher_dashboard/_permissions.py
zeeguu/api/api/teacher_dashboard/general.py,zeeguu/api/api/teacher_dashboard/_permissions.py
zeeguu/api/api/teacher_dashboard/student.py,zeeguu/api/api/teacher_dashboard/_permissions.py
zeeguu/api/api/teacher_dashboard/general.py,zeeguu/api/api/teacher_dashboard/_permissions.py
zeeguu/api/api/teacher_dashboard/_only_teachers_decorator.py,zeeguu/api/api/teacher_dashboard/_permissions.py
zeeguu/api/api/teacher_dashboard/general.py,zeeguu/api/api/teacher_dashboard/_permissions.py
zeeguu/api/api/teacher_dashboard/cohorts.py,zeeguu/api/api/teacher_dashboard/helpers.py
zeeguu/api/api/teacher_dashboard/general.py,zeeguu/api/api/teacher_dashboard/helpers.py
zeeguu/api/api/teacher_dashboard/cohorts.py,zeeguu/api/api/teacher_dashboard/helpers.py
zeeguu/api/api/teacher_dashboard/student.py,zeeguu/api/api/teacher_dashboard/helpers.py
zeeguu/api/api/__init__.py,zeeguu/api/api/topics.py
zeeguu/api/api/__init__.py,zeeguu/api/api/translation.py
zeeguu/api/api/translation.py,zeeguu/api/api/translator.py
zeeguu/api/api/translation.py,zeeguu/api/api/translator.py
zeeguu/api/api/__init__.py,zeeguu/api/api/user_article.py
zeeguu/api/api/__init__.py,zeeguu/api/api/user_articles.py
zeeguu/api/api/__init__.py,zeeguu/api/api/user_languages.py
zeeguu/api/api/__init__.py,zeeguu/api/api/user_statistics.py
zeeguu/api/api/__init__.py,zeeguu/api/api/user.py
zeeguu/api/api/accounts.py,zeeguu/api/api/utils/abort_handling.py
zeeguu/api/api/sessions.py,zeeguu/api/api/utils/abort_handling.py
zeeguu/api/api/teacher_dashboard/article_management.py,zeeguu/api/api/utils/abort_handling.py
zeeguu/api/api/__init__.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/article.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/bookmarks_and_words.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/exercises.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/own_texts.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/recommendations.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/search.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/smartwatch.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/student.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/teacher_dashboard/student_exercises.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/topics.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/translation.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/user.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/user_article.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/user_articles.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/user_languages.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/user_statistics.py,zeeguu/api/api/utils/json_result.py
zeeguu/api/api/accounts.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/activity_tracking.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/article.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/bookmarks_and_words.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/exercises.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/feature_toggles.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/own_texts.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/recommendations.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/search.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/sessions.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/smartwatch.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/speech.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/student.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/system_languages.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/topics.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/translation.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user_article.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user_articles.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user_languages.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user_statistics.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/__init__.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/activity_tracking.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/article.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/bookmarks_and_words.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/exercises.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/feature_toggles.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/own_texts.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/recommendations.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/search.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/sessions.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/smartwatch.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/speech.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/student.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/teacher_dashboard/article_management.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/teacher_dashboard/cohorts.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/teacher_dashboard/general.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/topics.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/translation.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user_article.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user_articles.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user_languages.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/api/user_statistics.py,zeeguu/api/api/utils/route_wrappers.py
zeeguu/api/__main__.py,zeeguu/api/app.py
zeeguu/api/test/test_architectural_conventions.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_article.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_bookmark.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_session.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_smartwatch_events.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_system_settings.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_teacher_dashboard.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_translations.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_user_article.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_user_articles.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_user_data.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_user_languages.py,zeeguu/api/test/api_test_mixin.py
zeeguu/api/test/test_user_login.py,zeeguu/api/test/api_test_mixin.py
tools/activity_monitor.py,zeeguu/core/__init__.py
tools/add_all_cohorts_to_teacher.py,zeeguu/core/__init__.py
tools/add_article_id_to_text.py,zeeguu/core/__init__.py
tools/add_rssfeed.py,zeeguu/core/__init__.py
tools/add_standard_topics.py,zeeguu/core/__init__.py
tools/anonimize_users.py,zeeguu/core/__init__.py
tools/article_crawler.py,zeeguu/core/__init__.py
tools/cleanup_non_content_bits.py,zeeguu/core/__init__.py
tools/consolidate_accounts.py,zeeguu/core/__init__.py
tools/del_dev_users.py,zeeguu/core/__init__.py
tools/exercise_analysis.py,zeeguu/core/__init__.py
tools/feed_info.py,zeeguu/core/__init__.py
tools/feed_retrieval.py,zeeguu/core/__init__.py
tools/fill_historical_exercise_sessions.py,zeeguu/core/__init__.py
tools/fill_historical_reading_sessions.py,zeeguu/core/__init__.py
tools/find_broken_articles.py,zeeguu/core/__init__.py
tools/forget_user.py,zeeguu/core/__init__.py
tools/map_article_words.py,zeeguu/core/__init__.py
tools/migrate_starredarticle_2_userarticle.py,zeeguu/core/__init__.py
tools/migrations/add_icon_name_to_rss_feed.py,zeeguu/core/__init__.py
tools/migrations/fix_text_duplications.py,zeeguu/core/__init__.py
tools/migrations/migrate_passwords.py,zeeguu/core/__init__.py
tools/migrations/redo_hash.py,zeeguu/core/__init__.py
tools/migrations/towards_single_translation.py,zeeguu/core/__init__.py
tools/mysql_to_elastic.py,zeeguu/core/__init__.py
tools/recompute_fk_difficulties_for_polish.py,zeeguu/core/__init__.py
tools/recompute_reading_session_after_id.py,zeeguu/core/__init__.py
tools/recompute_recommender_cache.py,zeeguu/core/__init__.py
tools/saturate_word_interaction_history.py,zeeguu/core/__init__.py
tools/tag_existing_articles.py,zeeguu/core/__init__.py
tools/tag_topics_in_danish.py,zeeguu/core/__init__.py
tools/update_feed.py,zeeguu/core/__init__.py
tools/update_particular_tag.py,zeeguu/core/__init__.py
zeeguu/api/api/__init__.py,zeeguu/core/__init__.py
zeeguu/api/api/recommendations.py,zeeguu/core/__init__.py
zeeguu/api/api/search.py,zeeguu/core/__init__.py
zeeguu/api/api/smartwatch.py,zeeguu/core/__init__.py
zeeguu/api/api/speech.py,zeeguu/core/__init__.py
zeeguu/api/api/teacher_dashboard/article_management.py,zeeguu/core/__init__.py
zeeguu/api/api/teacher_dashboard/cohorts.py,zeeguu/core/__init__.py
zeeguu/api/api/teacher_dashboard/general.py,zeeguu/core/__init__.py
zeeguu/api/api/teacher_dashboard/student.py,zeeguu/core/__init__.py
zeeguu/api/api/teacher_dashboard/student_exercises.py,zeeguu/core/__init__.py
zeeguu/api/api/teacher_dashboard/student_overviews.py,zeeguu/core/__init__.py
zeeguu/api/api/teacher_dashboard/student_readings.py,zeeguu/core/__init__.py
zeeguu/api/api/teacher_dashboard/student_words.py,zeeguu/core/__init__.py
zeeguu/api/api/topics.py,zeeguu/core/__init__.py
zeeguu/api/api/translator.py,zeeguu/core/__init__.py
zeeguu/api/api/user.py,zeeguu/core/__init__.py
zeeguu/api/api/user_languages.py,zeeguu/core/__init__.py
zeeguu/api/api/utils/route_wrappers.py,zeeguu/core/__init__.py
zeeguu/api/app.py,zeeguu/core/__init__.py
zeeguu/api/test/api_test_mixin.py,zeeguu/core/__init__.py
zeeguu/api/test/test_bookmark.py,zeeguu/core/__init__.py
zeeguu/api/test/test_session.py,zeeguu/core/__init__.py
zeeguu/api/test/test_teacher_dashboard.py,zeeguu/core/__init__.py
zeeguu/core/account_management/user_account_creation.py,zeeguu/core/__init__.py
zeeguu/core/bookmark_quality/positive_qualities.py,zeeguu/core/__init__.py
zeeguu/core/bookmark_quality/top_bookmarks_for_user.py,zeeguu/core/__init__.py
zeeguu/core/content_recommender/mysql_recommender.py,zeeguu/core/__init__.py
zeeguu/core/content_retriever/article_downloader.py,zeeguu/core/__init__.py
zeeguu/core/content_retriever/content_cleaner.py,zeeguu/core/__init__.py
zeeguu/core/content_retriever/quality_filter.py,zeeguu/core/__init__.py
zeeguu/core/model/__init__.py,zeeguu/core/__init__.py
zeeguu/core/model/article.py,zeeguu/core/__init__.py
zeeguu/core/model/article_difficulty_feedback.py,zeeguu/core/__init__.py
zeeguu/core/model/article_word.py,zeeguu/core/__init__.py
zeeguu/core/model/articles_cache.py,zeeguu/core/__init__.py
zeeguu/core/model/bookmark.py,zeeguu/core/__init__.py
zeeguu/core/model/bookmark_priority_arts.py,zeeguu/core/__init__.py
zeeguu/core/model/cohort.py,zeeguu/core/__init__.py
zeeguu/core/model/cohort_article_map.py,zeeguu/core/__init__.py
zeeguu/core/model/difficulty_lingo_rank.py,zeeguu/core/__init__.py
zeeguu/core/model/domain_name.py,zeeguu/core/__init__.py
zeeguu/core/model/exercise.py,zeeguu/core/__init__.py
zeeguu/core/model/exercise_outcome.py,zeeguu/core/__init__.py
zeeguu/core/model/exercise_source.py,zeeguu/core/__init__.py
zeeguu/core/model/feed.py,zeeguu/core/__init__.py
zeeguu/core/model/language.py,zeeguu/core/__init__.py
zeeguu/core/model/localized_topic.py,zeeguu/core/__init__.py
zeeguu/core/model/search.py,zeeguu/core/__init__.py
zeeguu/core/model/search_filter.py,zeeguu/core/__init__.py
zeeguu/core/model/search_subscription.py,zeeguu/core/__init__.py
zeeguu/core/model/session.py,zeeguu/core/__init__.py
zeeguu/core/model/smartwatch/watch_event_type.py,zeeguu/core/__init__.py
zeeguu/core/model/smartwatch/watch_interaction_event.py,zeeguu/core/__init__.py
zeeguu/core/model/starred_article.py,zeeguu/core/__init__.py
zeeguu/core/model/teacher.py,zeeguu/core/__init__.py
zeeguu/core/model/teacher_cohort_map.py,zeeguu/core/__init__.py
zeeguu/core/model/text.py,zeeguu/core/__init__.py
zeeguu/core/model/topic.py,zeeguu/core/__init__.py
zeeguu/core/model/topic_filter.py,zeeguu/core/__init__.py
zeeguu/core/model/topic_subscription.py,zeeguu/core/__init__.py
zeeguu/core/model/unique_code.py,zeeguu/core/__init__.py
zeeguu/core/model/url.py,zeeguu/core/__init__.py
zeeguu/core/model/user.py,zeeguu/core/__init__.py
zeeguu/core/model/user_activitiy_data.py,zeeguu/core/__init__.py
zeeguu/core/model/user_article.py,zeeguu/core/__init__.py
zeeguu/core/model/user_exercise_session.py,zeeguu/core/__init__.py
zeeguu/core/model/user_language.py,zeeguu/core/__init__.py
zeeguu/core/model/user_preference.py,zeeguu/core/__init__.py
zeeguu/core/model/user_reading_session.py,zeeguu/core/__init__.py
zeeguu/core/model/user_word.py,zeeguu/core/__init__.py
zeeguu/core/model/word_knowledge/word_interaction_history.py,zeeguu/core/__init__.py
zeeguu/core/model/word_to_study.py,zeeguu/core/__init__.py
zeeguu/core/sql/query_building.py,zeeguu/core/__init__.py
zeeguu/core/test/rules/source_rule.py,zeeguu/core/__init__.py
zeeguu/core/test/test_article.py,zeeguu/core/__init__.py
zeeguu/core/test/test_cohort.py,zeeguu/core/__init__.py
zeeguu/core/test/test_domain.py,zeeguu/core/__init__.py
zeeguu/core/test/test_exercise_session.py,zeeguu/core/__init__.py
zeeguu/core/test/test_language.py,zeeguu/core/__init__.py
zeeguu/core/test/test_lingorank_service.py,zeeguu/core/__init__.py
zeeguu/core/test/test_localized_topic.py,zeeguu/core/__init__.py
zeeguu/core/test/test_logging.py,zeeguu/core/__init__.py
zeeguu/core/test/test_reading_session.py,zeeguu/core/__init__.py
zeeguu/core/test/test_retrieve_and_compute.py,zeeguu/core/__init__.py
zeeguu/core/test/test_user_article.py,zeeguu/core/__init__.py
zeeguu/core/test/test_words_to_study.py,zeeguu/core/__init__.py
zeeguu/core/user_statistics/activity.py,zeeguu/core/__init__.py
zeeguu/core/user_statistics/exercise_corectness.py,zeeguu/core/__init__.py
zeeguu/core/user_statistics/exercise_sessions.py,zeeguu/core/__init__.py
zeeguu/core/user_statistics/reading_sessions.py,zeeguu/core/__init__.py
zeeguu/core/user_statistics/student_overview.py,zeeguu/core/__init__.py
zeeguu/core/util/timer_logging_decorator.py,zeeguu/core/__init__.py
zeeguu/core/word_scheduling/basicSR/basicSR.py,zeeguu/core/__init__.py
zeeguu/api/api/accounts.py,zeeguu/core/account_management/user_account_creation.py
zeeguu/core/model/bookmark.py,zeeguu/core/bookmark_quality/fit_for_study.py
zeeguu/core/bookmark_quality/__init__.py,zeeguu/core/bookmark_quality/negative_qualities.py
zeeguu/core/bookmark_quality/positive_qualities.py,zeeguu/core/bookmark_quality/negative_qualities.py
zeeguu/core/bookmark_quality/__init__.py,zeeguu/core/bookmark_quality/positive_qualities.py
zeeguu/core/bookmark_quality/__init__.py,zeeguu/core/bookmark_quality/positive_qualities.py
zeeguu/core/bookmark_quality/__init__.py,zeeguu/core/bookmark_quality/top_bookmarks_for_user.py
zeeguu/api/app.py,zeeguu/core/configuration/configuration.py
zeeguu/core/configuration/__init__.py,zeeguu/core/configuration/configuration.py
zeeguu/core/model/__init__.py,zeeguu/core/configuration/configuration.py
zeeguu/core/content_recommender/__init__.py,zeeguu/core/content_recommender/elastic_recommender.py
zeeguu/core/content_recommender/elastic_first_recommender.py,zeeguu/core/content_recommender/elastic_recommender.py
zeeguu/core/content_recommender/__init__.py,zeeguu/core/content_recommender/elastic_recommender.py
zeeguu/core/content_recommender/elastic_first_recommender.py,zeeguu/core/content_recommender/elastic_recommender.py
zeeguu/core/content_recommender/__init__.py,zeeguu/core/content_recommender/elastic_recommender.py
tools/recompute_recommender_cache.py,zeeguu/core/content_recommender/mysql_recommender.py
tools/recompute_recommender_cache.py,zeeguu/core/content_recommender/mysql_recommender.py
zeeguu/core/content_recommender/elastic_first_recommender.py,zeeguu/core/content_recommender/mysql_recommender.py
zeeguu/core/content_recommender/elastic_first_recommender.py,zeeguu/core/content_recommender/mysql_recommender.py
zeeguu/core/test/test_lingorank_service.py,zeeguu/core/content_retriever/article_downloader.py
tools/feed_retrieval.py,zeeguu/core/content_retriever/article_downloader.py
zeeguu/core/test/test_feed.py,zeeguu/core/content_retriever/article_downloader.py
zeeguu/core/test/test_retrieve_and_compute.py,zeeguu/core/content_retriever/article_downloader.py
zeeguu/core/test/test_retrieve_and_compute.py,zeeguu/core/content_retriever/article_downloader.py
tools/cleanup_non_content_bits.py,zeeguu/core/content_retriever/content_cleaner.py
zeeguu/core/content_retriever/article_downloader.py,zeeguu/core/content_retriever/content_cleaner.py
zeeguu/core/test/test_retrieve_and_compute.py,zeeguu/core/content_retriever/content_cleaner.py
tools/find_broken_articles.py,zeeguu/core/content_retriever/quality_filter.py
zeeguu/core/content_retriever/article_downloader.py,zeeguu/core/content_retriever/quality_filter.py
zeeguu/core/test/test_retrieve_and_compute.py,zeeguu/core/content_retriever/quality_filter.py
tools/flatten_unicode_characters.py,zeeguu/core/content_retriever/unicode_normalization.py
zeeguu/core/content_retriever/article_downloader.py,zeeguu/core/content_retriever/unicode_normalization.py
zeeguu/core/model/article.py,zeeguu/core/content_retriever/url_downloader.py
zeeguu/core/definition_of_learned/__init__.py,zeeguu/core/definition_of_learned/is_learned.py
zeeguu/core/content_recommender/elastic_recommender.py,zeeguu/core/elastic/elastic_query_builder.py
zeeguu/core/content_recommender/elastic_recommender.py,zeeguu/core/elastic/elastic_query_builder.py
tools/mysql_to_elastic.py,zeeguu/core/elastic/indexing.py
tools/mysql_to_elastic.py,zeeguu/core/elastic/indexing.py
zeeguu/core/content_retriever/article_downloader.py,zeeguu/core/elastic/indexing.py
zeeguu/core/content_retriever/video_dowloader.py,zeeguu/core/elastic/indexing.py
zeeguu/core/test/test_lingorank_service.py,zeeguu/core/elastic/indexing.py
zeeguu/core/content_retriever/article_downloader.py,zeeguu/core/elastic/indexing.py
zeeguu/core/content_retriever/video_dowloader.py,zeeguu/core/elastic/indexing.py
tools/remove_unreferenced_articles.py,zeeguu/core/elastic/indexing.py
zeeguu/api/api/accounts.py,zeeguu/core/emailer/password_reset.py
zeeguu/core/account_management/user_account_creation.py,zeeguu/core/emailer/user_activity.py
zeeguu/core/user_activity_hooks/article_interaction_hooks.py,zeeguu/core/emailer/user_activity.py
zeeguu/core/model/user_exercise_session.py,zeeguu/core/emailer/user_activity.py
zeeguu/api/api/activity_tracking.py,zeeguu/core/emailer/zeeguu_mailer.py
zeeguu/api/api/teacher_dashboard/article_management.py,zeeguu/core/emailer/zeeguu_mailer.py
zeeguu/api/api/user.py,zeeguu/core/emailer/zeeguu_mailer.py
zeeguu/core/emailer/password_reset.py,zeeguu/core/emailer/zeeguu_mailer.py
zeeguu/core/emailer/user_activity.py,zeeguu/core/emailer/zeeguu_mailer.py
zeeguu/api/api/exercises.py,zeeguu/core/exercises/similar_words.py
tools/recompute_fk_difficulties_for_polish.py,zeeguu/core/language/difficulty_estimator_factory.py
zeeguu/core/model/article.py,zeeguu/core/language/difficulty_estimator_factory.py
zeeguu/core/model/user.py,zeeguu/core/language/difficulty_estimator_factory.py
zeeguu/core/test/test_difficulty_estimator_factory.py,zeeguu/core/language/difficulty_estimator_factory.py
zeeguu/core/test/tests_difficulty_estimator_strategies/test_frequency_difficulty_estimator.py,zeeguu/core/language/difficulty_estimator_factory.py
zeeguu/core/language/difficulty_estimator_factory.py,zeeguu/core/language/difficulty_estimator_strategy.py
zeeguu/core/language/strategies/cognacy_difficulty_estimator.py,zeeguu/core/language/difficulty_estimator_strategy.py
zeeguu/core/language/strategies/cognacy_wh_difficulty_estimator.py,zeeguu/core/language/difficulty_estimator_strategy.py
zeeguu/core/language/strategies/default_difficulty_estimator.py,zeeguu/core/language/difficulty_estimator_strategy.py
zeeguu/core/language/strategies/flesch_kincaid_difficulty_estimator.py,zeeguu/core/language/difficulty_estimator_strategy.py
zeeguu/core/language/strategies/frequency_difficulty_estimator.py,zeeguu/core/language/difficulty_estimator_strategy.py
zeeguu/core/language/strategies/word_history_difficulty_estimator.py,zeeguu/core/language/difficulty_estimator_strategy.py
zeeguu/core/language/strategies/word_rank_difficulty_estimator.py,zeeguu/core/language/difficulty_estimator_strategy.py
zeeguu/core/language/difficulty_estimator_factory.py,zeeguu/core/language/strategies/default_difficulty_estimator.py
zeeguu/core/test/test_difficulty_estimator_factory.py,zeeguu/core/language/strategies/default_difficulty_estimator.py
zeeguu/core/test/tests_difficulty_estimator_strategies/test_default_difficulty_estimator.py,zeeguu/core/language/strategies/default_difficulty_estimator.py
zeeguu/core/language/difficulty_estimator_factory.py,zeeguu/core/language/strategies/flesch_kincaid_difficulty_estimator.py
zeeguu/core/test/test_difficulty_estimator_factory.py,zeeguu/core/language/strategies/flesch_kincaid_difficulty_estimator.py
zeeguu/core/test/tests_difficulty_estimator_strategies/test_flesch_kincaid_difficulty_estimator.py,zeeguu/core/language/strategies/flesch_kincaid_difficulty_estimator.py
tools/add_word_rank.py,zeeguu/core/model/__init__.py
zeeguu/api/app.py,zeeguu/core/model/__init__.py
zeeguu/core/content_retriever/article_downloader.py,zeeguu/core/model/__init__.py
zeeguu/core/content_retriever/video_dowloader.py,zeeguu/core/model/__init__.py
zeeguu/core/language/difficulty_estimator_strategy.py,zeeguu/core/model/__init__.py
zeeguu/core/language/strategies/cognacy_difficulty_estimator.py,zeeguu/core/model/__init__.py
zeeguu/core/language/strategies/cognacy_wh_difficulty_estimator.py,zeeguu/core/model/__init__.py
zeeguu/core/language/strategies/default_difficulty_estimator.py,zeeguu/core/model/__init__.py
zeeguu/core/language/strategies/frequency_difficulty_estimator.py,zeeguu/core/model/__init__.py
zeeguu/core/language/strategies/word_history_difficulty_estimator.py,zeeguu/core/model/__init__.py
zeeguu/core/language/strategies/word_rank_difficulty_estimator.py,zeeguu/core/model/__init__.py
zeeguu/core/test/model_test_mixin.py,zeeguu/core/model/__init__.py
zeeguu/core/test/rules/base_rule.py,zeeguu/core/model/__init__.py
zeeguu/core/test/test_url.py,zeeguu/core/model/__init__.py
zeeguu/api/api/user_article.py,zeeguu/core/model/article_difficulty_feedback.py
zeeguu/core/model/__init__.py,zeeguu/core/model/article_difficulty_feedback.py
tools/map_article_words.py,zeeguu/core/model/article_word.py
zeeguu/core/model/__init__.py,zeeguu/core/model/article_word.py
zeeguu/core/content_recommender/mysql_recommender.py,zeeguu/core/model/article_word.py
zeeguu/core/content_retriever/article_downloader.py,zeeguu/core/model/article_word.py
zeeguu/core/test/test_retrieve_and_compute.py,zeeguu/core/model/article_word.py
tools/add_article_id_to_text.py,zeeguu/core/model/article.py
tools/cleanup_non_content_bits.py,zeeguu/core/model/article.py
tools/del_dev_users.py,zeeguu/core/model/article.py
tools/find_broken_articles.py,zeeguu/core/model/article.py
tools/flatten_unicode_characters.py,zeeguu/core/model/article.py
tools/migrate_starredarticle_2_userarticle.py,zeeguu/core/model/article.py
tools/mysql_to_elastic.py,zeeguu/core/model/article.py
tools/recompute_fk_difficulties_for_polish.py,zeeguu/core/model/article.py
tools/remove_unreferenced_articles.py,zeeguu/core/model/article.py
tools/tag_existing_articles.py,zeeguu/core/model/article.py
tools/tag_topics_in_danish.py,zeeguu/core/model/article.py
tools/update_particular_tag.py,zeeguu/core/model/article.py
zeeguu/api/api/article.py,zeeguu/core/model/article.py
zeeguu/api/api/bookmarks_and_words.py,zeeguu/core/model/article.py
zeeguu/api/api/own_texts.py,zeeguu/core/model/article.py
zeeguu/api/api/teacher_dashboard/article_management.py,zeeguu/core/model/article.py
zeeguu/api/api/translation.py,zeeguu/core/model/article.py
zeeguu/api/api/user_article.py,zeeguu/core/model/article.py
zeeguu/core/content_recommender/elastic_recommender.py,zeeguu/core/model/article.py
